"vanus";"pikkus";"kaal";"sugu"
"561";0,0736903914207528;53,5;3,7;"N"
"563";0,363077110243836;61;6;"N"
"565";0,487181178251003;64,5;6,1;"N"
"566";0,53472968932111;67;5,9;"N"
"568";1,16644882279851;75;8,6;"N"
"569";1,54134784488796;80,5;9,6;"N"
"571";2,019319892252;80;11,5;"M"
"573";0,665401699830786;69;7,6;"M"
"574";0,465045706450734;66;6,6;"M"
"575";0,335642428749052;64,5;6,2;"M"
"577";0,098209236327655;55,5;4,5;"M"
"578";1,96825734203587;82;11,4;"N"
"579";0,0452652957929782;52,9;3,6;"N"
"580";0,229006772348770;59;4,8;"N"
"581";0,465906503129086;62,5;6;"N"
"582";0,447600327200158;68,5;6,8;"N"
"583";0,518572832395826;69,5;8;"N"
"584";0,816267967194448;69;8,5;"N"
"586";1,15229539960212;72,5;9;"N"
"587";1,36445426500747;77;10,1;"N"
"589";1,99582353251503;77;10,5;"N"
"590";1,40180607466505;72;10,5;"N"
"591";0,844458538322543;63;6,7;"N"
"592";0,627453005960757;62,5;7,2;"N"
"593";0,268833632126495;57;5,4;"N"
"594";0,150629781669589;53,5;4,5;"N"
"595";0,0451652391707407;53;3;"N"
"596";0,0411;55;5,4;"N"
"597";0,178359754380803;61;6,6;"N"
"599";0,603850853704381;69,5;8,2;"N"
"600";0,608391109313895;70,5;8,9;"N"
"601";0,778681151260136;74;9,1;"N"
"602";0,89086992410338;80;9,5;"N"
"603";1,05466707592370;81;10;"N"
"604";0,681784394511095;66,5;7,4;"M"
"605";1,05466371972895;72;8,8;"M"
"606";0,0680452811477743;49;3,4;"M"
"607";0,170699178963534;53,5;4,7;"M"
"608";0,346442972178541;54,5;5;"M"
"611";0,603596597599245;66;7,4;"M"
"612";0,828576301556377;75,5;7,8;"M"
"613";1,92847702705074;88;11,3;"M"
"614";1,43493778788921;79,5;10;"M"
"616";1,09156089558879;78;8,6;"M"
"617";1,08916849445028;77;8,5;"M"
"618";0,140080103921789;54,1;4;"M"
"619";0,244006802768300;60;4,9;"M"
"622";0,423649307285392;66;6,7;"M"
"623";0,477597016308571;67;6,9;"M"
"624";0,558782420398618;69;7,8;"M"
"625";0,93282276180572;74;11;"M"
"626";0,875400741060941;74;10,9;"M"
"627";0,821490608107092;70,5;10,1;"M"
"628";0,851285829558321;69;9,3;"M"
"629";0,496617187908361;64;7;"M"
"630";0,368325217415368;61,5;6,2;"M"
"631";0,210944831496517;60;5,3;"M"
"632";0,157650155994122;58;5,4;"M"
"633";0,613001088045055;72;8,9;"N"
"634";0,0411;53,9;4;"N"
"635";0,21177314957675;60;6,2;"N"
"636";0,234367840288825;63;6,3;"N"
"637";0,32977986351284;65;6,6;"N"
"639";1,01656397249039;78;10,8;"N"
"640";0,861289459046482;77;9,6;"N"
"641";0,754694033740651;74;9,3;"N"
"642";0,487756340752303;67;7,9;"N"
"643";0,565366772118613;70;8,5;"N"
"646";0,429399283874179;70;8;"M"
"647";0,353769310469886;67,5;7,5;"M"
"649";0,268460534696077;64;6,6;"M"
"651";0,195643461714872;57,1;4,9;"M"
"654";0,156265886654588;58,9;5,4;"N"
"656";0,391772663886684;65;7;"N"
"657";0,667458137309669;66;7,4;"N"
"658";0,728620565900783;70;8,2;"N"
"659";0,795600601654775;71;9,1;"N"
"661";0,885246850567373;76;9,7;"N"
"662";1,47690707562346;80,5;11,1;"N"
"663";1,56133876499563;82;11,3;"N"
"664";0,0859664276588235;55;5,1;"N"
"666";0,265941090648622;60;6,5;"N"
"667";0,313368914261598;65;7;"N"
"668";0,512506529021854;67;7,7;"N"
"669";0,506345236693526;67;8,7;"N"
"671";0,666623330621177;72;9,2;"N"
"673";0,96005018136694;73;10,6;"N"
"674";1,02837335675719;75;10,7;"N"
"675";0,454636147787702;60;6,3;"N"
"676";0,0988492186104397;53;3,8;"N"
"678";0,259016279647323;57;5,6;"N"
"680";1,02109687067878;72;8,9;"N"
"681";0,798682973562793;69;8,7;"N"
"682";0,690067772594325;69;8,2;"N"
"683";0,624840244296205;67,5;7,8;"N"
"685";0,554695159315192;64;6,6;"N"
"687";0,0561333534345585;54;4,4;"M"
"689";0,315731284494734;60;5,5;"M"
"693";0,126782137413343;55;4,3;"N"
"694";0,320573264885803;57;4,9;"N"
"695";0,337196270665555;57;5,5;"N"
"697";0,579649254918459;65;6,5;"N"
"698";1,08353743430785;74;9;"N"
"699";0,90498782866329;71;8,5;"N"
"700";0,844521357502486;68,5;8;"N"
"701";0,630587385986393;68;7,4;"N"
"702";0,669508062206339;68;6,9;"N"
"703";0,886496220559908;68;8,2;"N"
"705";0,265557659841985;59;4;"N"
"706";0,0411;57,4;4;"N"
"707";0,278521097682409;60;4,5;"N"
"708";0,309816751173234;63,5;5;"N"
"709";0,400889040297498;64;5,9;"N"
"710";0,444226782805614;65;6,1;"N"
"712";1,14493568982949;79;10;"N"
"713";0,0411;54,9;3,7;"M"
"714";0,263157900479172;64;5,5;"M"
"716";0,896193588609656;73,5;9,8;"M"
"718";0,132257483965335;55,5;5,3;"N"
"719";0,338479880266676;63,5;5,8;"N"
"720";0,578690922358926;65;8;"N"
"721";0,730719150428774;68;9,3;"N"
"722";0,944269910249428;74;10,3;"N"
"724";1,82180065753715;88,5;14;"M"
"725";0,742090310773913;73,5;10;"M"
"726";0,255885474204106;62;8,6;"M"
"727";0,195298937655238;58;5,7;"M"
"728";0,0848678842799104;57,5;5;"M"
"730";0,47600627978343;65;8,1;"M"
"733";0,109553982882443;57,5;4,8;"N"
"735";0,370430566020401;65;6,9;"N"
"736";0,383660859901296;67;7,4;"N"
"737";0,548747053768827;71;8,5;"N"
"739";0,806438711432943;77;10,1;"N"
"740";0,889729085811939;77,5;9,5;"N"
"741";0,955504746711685;78;10,1;"N"
"743";1,50838923137449;87;11,6;"N"
"744";0,825930498212366;76,5;9,7;"M"
"747";1,13403677098116;79,5;11;"M"
"748";0,461240131165927;71;8,8;"M"
